Time     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:33:22     all   40.40    0.00   59.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:23     all   41.84    0.00   58.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:24     all   35.05    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   47.42
12:33:25     all   24.24    0.00   32.32    0.00    0.00    0.00    0.00    0.00    0.00   43.43
12:33:26     all   40.82    0.00   59.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:27     all   42.86    0.00   57.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:28     all   19.39    0.00   15.31    0.00    0.00    1.02    0.00    0.00    0.00   64.29
12:33:29     all   29.29    0.00   44.44    0.00    0.00    0.00    0.00    0.00    0.00   26.26
12:33:30     all   37.37    0.00   62.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:31     all   37.76    0.00   62.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:32     all   17.35    0.00   29.59    0.00    0.00    0.00    0.00    0.00    0.00   53.06
12:33:33     all   20.00    0.00   37.00    0.00    0.00    0.00    0.00    0.00    0.00   43.00
12:33:34     all   37.76    0.00   62.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:35     all   39.39    0.00   60.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:36     all   47.96    0.00   52.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:37     all   38.54    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   52.08
12:33:38     all   46.94    0.00   39.80    0.00    0.00    0.00    0.00    0.00    0.00   13.27
12:33:39     all   53.06    0.00   46.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:40     all   50.00    0.00   50.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:41     all   51.55    0.00   48.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:42     all   47.47    0.00   52.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:43     all   20.20    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   70.71
12:33:44     all   34.34    0.00   52.53    0.00    0.00    0.00    0.00    0.00    0.00   13.13
12:33:45     all   36.36    0.00   63.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:46     all   33.67    0.00   66.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:47     all   23.47    0.00   33.67    0.00    0.00    0.00    0.00    0.00    0.00   42.86
12:33:48     all   18.00    0.00   27.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
12:33:49     all   36.36    0.00   63.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:50     all   34.34    0.00   65.66    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:51     all   28.28    0.00   57.58    0.00    0.00    0.00    0.00    0.00    0.00   14.14
12:33:52     all    7.14    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   84.69
12:33:53     all   33.00    0.00   67.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:54     all   33.67    0.00   66.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:55     all   34.69    0.00   65.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:56     all    4.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
12:33:57     all   33.00    0.00   58.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
12:33:58     all   34.69    0.00   65.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:33:59     all   35.35    0.00   63.64    0.00    0.00    1.01    0.00    0.00    0.00    0.00
12:34:00     all   15.15    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   62.63
